"","external_gene_name","gene_biotype"
"1","DHuU","rRNA"
"2","DHuU","rRNA"
"3","DHuU","rRNA"
"4","DHuU","rRNA"
"5","DHuU","rRNA"
"6","DHuU","rRNA"
"7","DHuU","rRNA"
"8","DHuU","rRNA"
"9","DHuU","rRNA"
"10","DHuU","rRNA"
"11","DHuU","rRNA"
"12","DHuU","rRNA"
"13","ysoO","rRNA_pseudogene"
"14","ysoO","rRNA_pseudogene"
"15","ysoO","rRNA_pseudogene"
"16","ysoO","rRNA_pseudogene"
"17","ysoO","rRNA_pseudogene"
"18","ysoO","rRNA_pseudogene"
"19","ysoO","rRNA_pseudogene"
"20","ysoO","rRNA_pseudogene"
"21","ysoO","rRNA_pseudogene"
"22","ysoO","rRNA"
"23","ysoO","rRNA"
"24","ysoO","rRNA"
"25","ysoO","rRNA"
"26","ysoO","rRNA"
"27","ysoO","rRNA"
"28","ysoO","rRNA"
"29","ysoO","rRNA"
"30","ysoO","rRNA"
"31","ysoO","rRNA_pseudogene"
"32","ysoO","rRNA_pseudogene"
"33","ysoO","rRNA_pseudogene"
"34","ysoO","rRNA_pseudogene"
"35","ysoO","rRNA_pseudogene"
"36","ysoO","rRNA_pseudogene"
"37","ysoO","rRNA_pseudogene"
"38","ysoO","rRNA_pseudogene"
"39","ysoO","rRNA_pseudogene"
"40","ysoO","rRNA"
"41","ysoO","rRNA"
"42","ysoO","rRNA"
"43","ysoO","rRNA"
"44","ysoO","rRNA"
"45","ysoO","rRNA"
"46","ysoO","rRNA"
"47","ysoO","rRNA"
"48","ysoO","rRNA"
"49","kXWn","misc_RNA"
"50","kXWn","misc_RNA"
"51","kXWn","misc_RNA"
"52","kXWn","misc_RNA"
"53","kXWn","misc_RNA"
"54","kXWn","misc_RNA"
"55","kXWn","misc_RNA"
"56","kXWn","misc_RNA"
"57","kXWn","misc_RNA"
"58","kXWn","misc_RNA"
"59","kXWn","misc_RNA"
"60","kXWn","misc_RNA"
"61","kXWn","misc_RNA"
"62","kXWn","misc_RNA"
"63","kXWn","misc_RNA"
"64","kXWn","misc_RNA"
"65","kXWn","misc_RNA"
"66","kXWn","misc_RNA"
"67","kXWn","misc_RNA"
"68","kXWn","misc_RNA"
"69","kXWn","misc_RNA"
"70","uAro","protein_coding"
"71","Ncaa","lncRNA"
"72","DiVp","protein_coding"
"73","FSsj","protein_coding"
"74","uwqu","lncRNA"
"75","fcLh","protein_coding"
"76","CfHr","lncRNA"
"77","dRMl","lncRNA"
"78","bgNC","lncRNA"
"79","bgNC","transcribed_unprocessed_pseudogene"
"80","KWuR","protein_coding"
"81","PeQT","protein_coding"
"82","TOGg","protein_coding"
"83","jtfD","lncRNA"
"84","qgMU","protein_coding"
"85","GWku","protein_coding"
"86","tbdT","transcribed_unprocessed_pseudogene"
"87","tbdT","lncRNA"
"88","QbbH","protein_coding"
"89","bEnk","protein_coding"
"90","dMOV","lncRNA"
"91","sfth","protein_coding"
"92","buYW","protein_coding"
"93","Omsk","transcribed_unprocessed_pseudogene"
"94","Omsk","lncRNA"
"95","KQOG","protein_coding"
"96","RZRl","protein_coding"
"97","puVi","protein_coding"
"98","LgXI","protein_coding"
"99","lxOk","protein_coding"
"100","ziIk","protein_coding"
"101","SZJp","protein_coding"
"102","aUlB","protein_coding"
"103","ZDbh","protein_coding"
"104","aOuE","processed_pseudogene"
"105","VtfR","protein_coding"
"106","FcGd","protein_coding"
"107","ikcR","processed_pseudogene"
"108","VfnY","protein_coding"
"109","kUPC","protein_coding"
"110","DIQK","protein_coding"
"111","sLmJ","lncRNA"
"112","JgYd","protein_coding"
"113","Thzs","protein_coding"
"114","cAZl","lncRNA"
"115","JxiT","protein_coding"
"116","ZwfQ","protein_coding"
"117","GvaL","protein_coding"
"118","SRqT","transcribed_processed_pseudogene"
"119","SRqT","lncRNA"
"120","pUlm","protein_coding"
"121","jhgl","protein_coding"
"122","nGQh","lncRNA"
"123","nGQh","transcribed_unitary_pseudogene"
"124","SHJT","protein_coding"
"125","kswu","protein_coding"
"126","CjzL","protein_coding"
"127","yXgN","protein_coding"
"128","FiCi","protein_coding"
"129","qJqv","protein_coding"
"130","NrBL","protein_coding"
"131","OZZP","protein_coding"
"132","uvtV","lncRNA"
"133","tsDM","protein_coding"
"134","OFsS","protein_coding"
"135","swOg","processed_pseudogene"
"136","ODCa","processed_pseudogene"
"137","sVFJ","processed_pseudogene"
"138","QpuA","protein_coding"
"139","MBIF","protein_coding"
"140","hCis","protein_coding"
"141","qAQu","protein_coding"
"142","SFOu","protein_coding"
"143","qdCe","protein_coding"
"144","LFUh","protein_coding"
"145","brXw","protein_coding"
"146","aNrO","protein_coding"
"147","Sbdx","protein_coding"
"148","YyWh","protein_coding"
"149","zggy","transcribed_unprocessed_pseudogene"
"150","zggy","lncRNA"
"151","ZeXp","protein_coding"
"152","ZoJi","protein_coding"
"153","jUJv","protein_coding"
"154","HdIh","protein_coding"
"155","EHIc","lncRNA"
"156","CbvY","protein_coding"
"157","GNUI","lncRNA"
"158","GNUI","transcribed_unprocessed_pseudogene"
"159","eour","transcribed_unprocessed_pseudogene"
"160","eour","lncRNA"
"161","EBJn","protein_coding"
"162","mOdc","protein_coding"
"163","bjiS","protein_coding"
"164","Ddot","unprocessed_pseudogene"
"165","cYsz","unprocessed_pseudogene"
"166","uRWK","unprocessed_pseudogene"
"167","slbV","unprocessed_pseudogene"
"168","Djnm","protein_coding"
"169","NzKC","protein_coding"
"170","IVIs","protein_coding"
"171","pfSO","protein_coding"
"172","BIAp","protein_coding"
